Name,Cons_den,Duration,Assign,Ac_iter,Satisfied
dom10-var100-den0.6-seed0-ts1663245590.dump,0.1,4.589333772659302,20000,307.6488,True
dom10-var100-den0.7-seed0-ts1663246083.dump,0.25,5.552251577377319,20000,626.37575,True
dom10-var100-den0.9-seed0-ts1663246471.dump,0.5,5.466180324554443,20000,965.1645,True
dom10-var100-den0.9-seed0-ts1663246471.dump,0.75,10.79740834236145,20000,1612.41315,True
dom10-var100-den0.9-seed0-ts1663246471.dump,1.0,19.817533254623413,20000,2714.07685,True
dom10-var250-den0.7-seed0-ts1663304709.dump,0.1,11.24567699432373,20000,1152.0144,True
dom10-var250-den0.8-seed0-ts1663304880.dump,0.25,23.494832038879395,20000,2532.6256,True
dom10-var250-den0.9-seed0-ts1663305019.dump,0.5,37.55803918838501,20000,4629.55225,True
dom10-var250-den0.9-seed0-ts1663305019.dump,0.75,72.09360265731812,20000,7881.9407,True
dom10-var250-den0.9-seed0-ts1663305019.dump,1.0,123.50347781181335,20000,12405.56425,True
dom10-var500-den0.7-seed0-ts1663298038.dump,0.1,38.46263384819031,20000,3250.9028,True
dom10-var500-den0.8-seed0-ts1663298187.dump,0.25,100.4309093952179,20000,7619.81525,True
dom10-var500-den0.9-seed0-ts1663298354.dump,0.5,211.22522354125977,20000,18793.8346,True
dom10-var500-den0.9-seed0-ts1663298354.dump,0.75,326.31378626823425,20000,28218.4315,True
dom10-var500-den0.9-seed0-ts1663298354.dump,1.0,574.5950992107391,17131,42557.72634405464,False
dom10-var750-den0.8-seed0-ts1663305372.dump,0.1,70.43660569190979,20000,6195.6712,True
dom10-var750-den0.8-seed0-ts1663305372.dump,0.25,195.15121579170227,20000,13768.5908,True
dom10-var750-den0.9-seed0-ts1663305586.dump,0.5,457.19613313674927,20000,36220.6328,True
dom10-var750-den0.9-seed0-ts1663305586.dump,0.75,778.1128795146942,20000,61171.66935,True
dom10-var750-den0.95-seed0-ts1663305869.dump,1.0,780.3957386016846,20000,71509.79825,True
dom10-var1000-den0.8-seed0-ts1663250612.dump,0.1,101.88111853599548,20000,8322.20405,True
dom10-var1000-den0.9-seed0-ts1663304383.dump,0.25,296.4022126197815,20000,24544.31895,True
dom10-var1000-den0.95-seed0-ts1663248381.dump,0.5,430.0104637145996,20000,39707.67805,True
dom10-var1000-den0.95-seed0-ts1663248381.dump,0.75,716.1795766353607,20000,65446.1763,True
